iter	Passed	Remaining
829	33996	68402
830	34038	68363
831	34078	68320
832	34118	68276
833	34162	68242
834	34201	68197
835	34236	68145
836	34275	68099
837	34317	68061
838	34352	68008
839	34393	67968
840	34428	67915
841	34477	67890
842	34519	67851
843	34565	67821
844	34604	67774
845	34643	67731
846	34688	67698
847	34726	67651
848	34763	67603
849	34798	67549
850	34841	67513
851	34882	67471
852	34923	67430
853	34961	67384
854	35003	67345
855	35046	67309
856	35088	67269
857	35120	67212
858	35169	67185
859	35211	67148
860	35254	67111
861	35294	67068
862	35336	67029
863	35378	66989
864	35422	66954
865	35458	66904
866	35501	66866
867	35537	66816
868	35579	66777
869	35618	66733
870	35663	66699
871	35701	66654
872	35743	66613
873	35782	66570
874	35817	66519
875	35860	66480
876	35898	66434
877	35933	66383
878	35979	66351
879	36019	66308
880	36062	66271
881	36102	66228
882	36148	66197
883	36195	66167
884	36238	66129
885	36273	66078
886	36318	66045
887	36360	66006
888	36393	65950
889	36436	65913
890	36475	65868
891	36514	65825
892	36558	65788
893	36593	65737
894	36637	65701
895	36680	65665
896	36723	65626
897	36763	65584
898	36803	65542
899	36843	65499
900	36893	65474
901	36932	65431
902	36976	65393
903	37013	65347
904	37051	65301
905	37084	65245
906	37126	65206
907	37160	65154
908	37205	65119
909	37242	65071
910	37276	65019
911	37313	64970
912	37350	64922
913	37386	64874
914	37422	64824
915	37459	64777
916	37505	64744
917	37542	64697
918	37583	64656
919	37622	64613
920	37667	64577
921	37708	64537
922	37744	64489
923	37788	64452
924	37827	64408
925	37865	64363
926	37909	64328
927	37947	64281
928	37994	64251
929	38039	64216
930	38084	64182
931	38128	64147
932	38167	64103
933	38207	64060
934	38252	64027
935	38288	63977
936	38325	63931
937	38369	63895
938	38407	63849
939	38446	63804
940	38480	63752
941	38513	63698
942	38554	63657
943	38595	63616
944	38635	63575
945	38674	63531
946	38709	63481
947	38746	63432
948	38786	63390
949	38825	63347
950	38868	63309
951	38918	63283
952	38956	63238
953	38992	63188
954	39034	63150
955	39074	63108
956	39113	63064
957	39152	63020
958	39199	62988
959	39240	62948
960	39282	62908
961	39321	62865
962	39357	62817
963	39402	62782
964	39439	62735
965	39479	62693
966	39524	62659
967	39562	62613
968	39609	62581
969	39660	62557
970	39696	62509
971	39738	62470
972	39778	62426
973	39822	62391
974	39861	62348
975	39901	62305
976	39936	62255
977	39973	62208
978	40017	62172
979	40055	62126
980	40097	62088
981	40134	62040
982	40167	61987
983	40206	61944
984	40252	61911
985	40291	61868
986	40336	61833
987	40379	61795
988	40413	61744
989	40448	61694
990	40494	61660
991	40537	61623
992	40578	61582
993	40613	61533
994	40654	61492
995	40695	61451
996	40741	61418
997	40787	61386
998	40865	61401
999	40907	61360
1000	40947	61318
1001	40995	61288
1002	41038	61250
1003	41080	61212
1004	41118	61166
1005	41160	61127
1006	41208	61096
1007	41244	61048
1008	41283	61004
1009	41317	60954
1010	41360	60915
1011	41401	60874
1012	41438	60828
1013	41478	60786
1014	41523	60750
1015	41568	60715
1016	41611	60678
1017	41651	60636
1018	41695	60599
1019	41740	60565
1020	41784	60527
1021	41823	60484
1022	41858	60434
1023	41897	60391
1024	41933	60343
1025	41971	60298
1026	42013	60259
1027	42057	60221
1028	42103	60188
1029	42139	60141
1030	42182	60103
1031	42221	60059
1032	42264	60021
1033	42305	59980
1034	42354	59951
1035	42394	59909
1036	42438	59872
1037	42476	59827
1038	42513	59780
1039	42554	59739
1040	42591	59694
1041	42640	59664
1042	42684	59626
1043	42718	59576
1044	42758	59534
1045	42797	59490
1046	42834	59444
1047	42872	59400
1048	42908	59351
1049	42948	59309
1050	42989	59268
1051	43032	59231
1052	43073	59190
1053	43116	59151
1054	43159	59114
1055	43200	59073
1056	43246	59038
1057	43291	59004
1058	43326	58954
1059	43371	58920
1060	43413	58880
1061	43448	58831
1062	43481	58780
1063	43522	58738
1064	43564	58699
1065	43605	58658
1066	43652	58626
1067	43690	58580
1068	43729	58537
1069	43784	58515
1070	43826	58475
1071	43864	58431
1072	43906	58391
1073	43945	58349
1074	43987	58309
1075	44026	58266
1076	44062	58217
1077	44108	58183
1078	44149	58143
1079	44187	58097
1080	44221	58048
1081	44258	58002
1082	44296	57957
1083	44337	57917
1084	44375	57872
1085	44415	57829
1086	44457	57790
1087	44501	57753
1088	44542	57712
1089	44584	57673
1090	44624	57631
1091	44659	57582
1092	44699	57540
1093	44745	57507
1094	44785	57464
1095	44824	57421
1096	44864	57379
1097	44901	57333
1098	44942	57293
1099	44977	57244
1100	45018	57203
1101	45057	57159
1102	45095	57115
1103	45134	57072
1104	45166	57020
1105	45203	56974
1106	45243	56931
1107	45280	56886
1108	45326	56851
1109	45368	56812
1110	45412	56775
1111	45448	56728
1112	45484	56681
1113	45532	56649
1114	45573	56609
1115	45615	56569
1116	45658	56531
1117	45698	56489
1118	45733	56441
1119	45770	56396
1120	45810	56353
